pair_id,true_direction,weight,pair_name,variable_x,variable_y,n_raw,n_finite,data_url,description_url,cache_sha256,continuous_continuous,basis,time_space
1,1,0.166,Altitude / Temperature,Altitude,Temperature,349,349,https://webdav.tuebingen.mpg.de/cause-effect/pair0001.txt,https://webdav.tuebingen.mpg.de/cause-effect/pair0001_des.txt,4c6227cb52f0f6a6735a0029b67bdc75445a6abde92a3307b44a78ba4c93d870,yes,Altitude and average temperature are physical continuous quantities; DWD station observations,spatial
2,1,0.166,Altitude / Precipitation,Altitude,Precipitation,349,349,https://webdav.tuebingen.mpg.de/cause-effect/pair0002.txt,https://webdav.tuebingen.mpg.de/cause-effect/pair0002_des.txt,fd6e96a056aaa5e31386dadfa812286f6b7413709e21f8d2eef9451232370964,yes,Altitude and mean precipitation are physical continuous quantities; DWD station observations,spatial
3,1,0.167,Longitude / Temperature,Longitude,Temperature,349,349,https://webdav.tuebingen.mpg.de/cause-effect/pair0003.txt,https://webdav.tuebingen.mpg.de/cause-effect/pair0003_des.txt,16988f0926df3a7b3fa049c15fcdcdce79267ec111bf422ddb94e09eef2a2185,yes,Longitude and mean temperature are physical continuous quantities; DWD stations,spatial
4,1,0.166,Altitude / Sunshine hours,Altitude,Sunshine hours,349,349,https://webdav.tuebingen.mpg.de/cause-effect/pair0004.txt,https://webdav.tuebingen.mpg.de/cause-effect/pair0004_des.txt,eb7b9240765269ab4d7c80b3eaf5f454a1875f27e7b2fcb82b0e6d13a74eba0b,yes,Altitude and annual sunshine duration are physical continuous quantities; DWD stations,spatial
5,1,0.143,Age / Length,Age,Length,4177,4177,https://webdav.tuebingen.mpg.de/cause-effect/pair0005.txt,https://webdav.tuebingen.mpg.de/cause-effect/pair0005_des.txt,90d12e140d3540990353109f12f3be5b1f93d6352218dd2da6040615316429cd,no,Metadata explicitly labels Rings as integer and Length as continuous,not_documented
6,1,0.143,Age / Shell weight,Age,Shell weight,4177,4177,https://webdav.tuebingen.mpg.de/cause-effect/pair0006.txt,https://webdav.tuebingen.mpg.de/cause-effect/pair0006_des.txt,abae294dcdf98e9a102aa8220c4585a8f1b22b2948b4947bb3aac509c07efd3c,no,Metadata explicitly labels Rings as integer and Shell weight as continuous,not_documented
7,1,0.143,Age / Diameter,Age,Diameter,4177,4177,https://webdav.tuebingen.mpg.de/cause-effect/pair0007.txt,https://webdav.tuebingen.mpg.de/cause-effect/pair0007_des.txt,33df08041f420d8500d7c9da1904d02f94582885da9fe7812c8b5ed114bea1be,no,Metadata explicitly labels Rings as integer and Diameter as continuous,not_documented
8,1,0.143,Age / Height,Age,Height,4177,4177,https://webdav.tuebingen.mpg.de/cause-effect/pair0008.txt,https://webdav.tuebingen.mpg.de/cause-effect/pair0008_des.txt,3d0360be87e939fd0479c85cb904dadf1865f06f6d9d6d282efd546d8f42a2f2,no,Metadata explicitly labels Rings as integer and Height as continuous,not_documented
9,1,0.143,Age / Whole weight,Age,Whole weight,4177,4177,https://webdav.tuebingen.mpg.de/cause-effect/pair0009.txt,https://webdav.tuebingen.mpg.de/cause-effect/pair0009_des.txt,c6b17d95bc27c2ab351baa77b74707fbbf84ae14c9df84ce9530e9b42086ee9b,no,Metadata explicitly labels Rings as integer and Whole weight as continuous,not_documented
10,1,0.143,Age / Shucked weight,Age,Shucked weight,4177,4177,https://webdav.tuebingen.mpg.de/cause-effect/pair0010.txt,https://webdav.tuebingen.mpg.de/cause-effect/pair0010_des.txt,04be8cabb5aa12a41b0a591c477afeec837f3a1454b4cb5ad1ca800853454401,no,Metadata explicitly labels Rings as integer and Shucked weight as continuous,not_documented
